"bateria","Tem_Instr_Violao_Viola","Tem_Instr_Guitarra","Tem_Instr_Cavaco","Tem_Instr_Sintetizador_Teclado","Tem_Instr_Piano","Tem_Instr_Metais","Tem_Instr_Madeiras","Tem_Instr_Cordas","BPM","VolMedio","PctCantada","PctRap","duracao","ano_lancamento","gostou","n_reproducao","id_cliente"
"Nenhuma",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,127.649751295017,-7.34920804062203,74.4106080601563,0,221160,2002,TRUE,4,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,133.910258225974,-9.65572125115331,63.6415981522685,0,187336,2006,TRUE,2,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109.455973089219,-8.1167343628556,77.9277454400775,0,181025,2013,FALSE,2,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,101.212347096129,-5.66176303958047,15.4801700080344,76.2050240404781,172880,2004,TRUE,3,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,134.37766791531,-6.20601501732883,80.9777271228499,17.8106861349283,175475,2013,TRUE,5,"#ID1349"
"Nenhuma",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,111.849138121017,-6.02938699565345,73.9335334263423,0,224924,2004,TRUE,4,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,92.0734207626402,-11.4433543191206,67.4323034410565,0,220212,2018,FALSE,4,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,82.0977605025437,-6.79224968773126,61.3687638790285,0,237867,2021,FALSE,4,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,75.1816211132206,-7.28086714779855,79.7621261588624,0,158343,2017,FALSE,3,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,126.019779742461,-7.76407654920033,54.150744871494,0,332749,1974,FALSE,4,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,102.355665922335,-6.47377860156598,15.3194652528347,76.8534916063569,207318,1997,TRUE,6,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,92.5135435077914,-12.2878938176685,73.2166422022729,0,128729,2019,FALSE,4,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,123.688547254649,-6.66312515892196,58.2202829871259,0,191891,2021,TRUE,5,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,130.126726145851,-5.78661749368393,81.3625414524653,25.3301171445491,255533,2015,TRUE,3,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,102.22907896788,-7.44682059540308,22.7865942467607,63.5139340981886,166726,2003,TRUE,6,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,149.588262815359,-14.4744188812451,0,0,303830,1991,FALSE,1,"#ID1349"
